标题,出发日期,天数,城市,路线,人数,玩法,费用,阅读数,点赞数,评论数
【浙南】拂去岁月风尘  圆我廊桥之梦,2016-10-26 出发,共6天,泰顺>景宁,北涧桥>溪东桥>泰顺廊桥,独自一人,深度游 古镇,人均15000元,1.2万,8,1
川渝十日世遗之旅,2021-10-15 出发,共10天,重庆>峨眉山,大足石刻>灵秀温泉>报国寺>峨眉山>万年寺>峨嵋金顶>金顶>洪崖洞>重庆西站>洪崖...,家庭,,人均3250元,3195,64,5
这样的大理你见过吗？五天四晚看不一样的大理,2022-11-06 出发,共1天,大理,洱源,三五好友,自驾 赏秋,人均6000元,1.4万,10,0
拯救周末 | 畅游海洋王国•入住海洋科学酒店,2021-10-16 出发,共2天,澳门Macau>长隆旅游度假区Changlong tourism and vacation,,家庭,深度游 漫游 自驾 短途周末 国庆,人均1000元,1.1万,35,7
【西班牙】科卡〡探索西班牙中世纪古城,2023-10-17 出发,共1天,,,,探险,,2323,0,0
自驾南疆 | 尉犁胡杨染黄了塔里木河沿岸，大漠深处惊艳了时光（干货贴）,2021-10-24 出发,共6天,巴音郭楞>乌鲁木齐>尉犁>葫芦岛>库尔勒,塔里木河>胡杨林>塔克拉玛干沙漠（巴音郭楞）>尉犁县>塔里木河与塔克拉玛干游览区...,三五好友,自驾 赏秋,人均2000元,1.3万,38,4
30天穷游老柬越（老挝篇）,2022-11-08 出发,共30天,,,独自一人,深度游 穷游 第一次,人均5037元,1.4万,6,0
自驾贡嘎西坡 | 寻一个冬季，四天解锁贡嘎的诱惑（干货贴）#发游记瓜分奖金#,2020-11-19 出发,共4天,康定>甘孜藏族自治州Ganzi Prefecture>贡嘎,泉华滩>雅哈垭口>子梅垭口>甲根坝乡>上木居村>新都桥>冷嘎措>贡嘎寺,三五好友,自驾 冬季,人均2000元,1.2万,34,4
送上一份三亚度假攻略，请查收！,2019-10-07 出发,共4天,三亚,南山海上观音>大小洞天>海棠湾>蜈支洲岛>三亚湾>亚龙湾>南山寺>西岛>蝴蝶谷...,,美食,,3.4万,61,6
不按套路出牌的成都美食们,2019-10-01 出发,共7天,成都,一根儿签子串串香(太古里店)>宽窄巷子>炒作大师川辣酒肆(宽窄巷子店)>布拉诺意大利餐...,三五好友,深度游 美食,人均100元,12万,1014,1
土耳其11日游,2019-10-02 出发,共10天,土耳其(安卡拉Ankara 格雷梅Goreme 棉花堡Pamukkale 伊斯坦布尔Istanbul),土耳其国父陵>安卡拉城>卡帕多奇亚>格雷梅露天博物馆>棉花堡>希拉波利斯>大巴扎...,情侣,国庆,,6010,8,4
初遇青海，又见敦煌,2019-09-23 出发,共9天,敦煌,月牙泉>鸣沙山>莫高窟>鸣沙山月牙泉,,,,8401,26,2
包头～白洋淀3天自驾游,2019-08-30 出发,共3天,白洋淀Baiyangdian,,家庭,自驾 夏季,人均700元,8501,14,1
国庆70周年，西双版纳有我欢快的小步伐,2019-10-01 出发,共3天,景洪>西双版纳,江边夜市>基诺山寨>西双版纳原始森林公园>西双版纳勐泐文化旅游区>曼听公园>曼听公...,三五好友,购物 穷游 美食 国庆,人均3999元,5978,31,2
圆梦北京—2019休假记（上）,2019-07-27 出发,共5天,北京,颐和园>明十三陵>长陵>水立方(国家游泳中心)>王府井>故宫博物院>长安街>奥林匹克...,家庭,暑假 第一次,人均3500元,5565,20,0
2019.09 微微辣的重庆6日游,2019-09-27 出发,共6天,重庆,江北机场T3航站楼>新光天地>贵佐·贵州酸汤鱼(渝北财富中心店)>江北石子山体育公园...,独自一人,徒步 国庆,人均4500元,3598,13,0
三天两晚，带你遇见平遥，领略古城魅力，解密你不知道的小知识,2019-10-28 出发,共3天,平遥>马来西亚(文庙Rembia),平遥古城>华北第一镖局>城隍庙>双林寺>日升昌票号>协同庆(中国钱庄博物馆)>平遥古...,三五好友,深度游,人均1500元,57.3万,12,1
平遥，又见平遥！这份详实的平遥出行攻略，敬请收下,2019-09-25 出发,共3天,平遥,平遥古城>城隍庙>双林寺>雷履泰故居>华北第一镖局>清虚观>马家大院>二郎庙>镇国...,三五好友,美食 短途周末 摄影 国庆 第一次,人均1000元,12.3万,26,1
金陵一梦•是南京鸭！,2019-10-02 出发,共4天,南京,雨花客厅EPARK>老门东历史街区>先锋书店(龙江店)>夫子庙秦淮风光带>左师傅梅花糕(童...,,,,1202,1,0
冲绳石垣体验游,2019-10-01 出发,共4天,深圳>日本(石垣岛Ishigaki Island),点都德(水贝店)>深圳博物馆>深圳湾口岸>川平湾>川平公园>八重山群岛>炭焼肉 石田...,闺蜜,潜水 国庆,人均7000元,2518,35,8
恋上天府之国成都，一座来了就不想离开的城市,2019-09-27 出发,共3天,成都,春熙路>锦里古街>群光广场>鹤鸣茶社>武侯祠>宽窄巷子>人民公园>成都远洋太古里...,三五好友,漫游 美食 暑假,人均3000元,5299,11,1
黔南8日游,2019-09-14 出发,共8天,荔波>贵阳>镇远>黔南>黄果树Huangguoshu,荔波小七孔景区>龙洞堡国际机场>镇远古城>荔波古镇>卧龙潭>天钟洞>翠谷瀑布>水上...,家庭,自驾 赏秋,人均5000元,5298,26,2
广东的后花园 隐匿的世外桃源—给你想要的湖南郴州,2019-09-26 出发,共3天,资兴>郴州,小东江>雾漫小东江>仰天湖大草原>高椅岭旅游区>吊桥大排档>栖风渡鱼粉>白廊景区,情侣,美食 自驾 短途周末 摄影 国庆,人均1000元,6761,30,4
兰州到桂林,2019-09-27 出发,共7天,桂林,正阳路步行街,家庭,深度游 国庆,人均4000元,3378,16,0
最棒的火山和最美的大海，太多惊喜的“菲”凡之旅,2019-09-08 出发,共12天,菲律宾(黎牙实比Legaspi 锡基霍尔Siquijor 薄荷岛BoholIsland 杜马盖地),马荣火山>锡基霍尔岛,,深度游 环游 潜水 摄影,人均5000元,4.8万,16,2
四天三夜与华晨雷诺•观境，一同探秘云南的诗与远方,2019-09-09 出发,共4天,大理>腾冲>昆明>美国(雷诺Reno),大理古城南门>洱源,三五好友,深度游 自驾 暑假 摄影 探险 国庆,人均3000元,3.9万,127,5
南京黄山轻松游-超级详细满满的干货哦！,2019-09-06 出发,共8天,南京>黄山区>宏村Hongcun,德基广场>乌衣巷>瞻园>美龄宫>秦淮河>明孝陵>南京南站>中山陵景区>南京大学...,,,人均5000元,1917,31,4
打磨时光，幽幽古镇双城记,2019-09-21 出发,共3天,平遥,平遥古城>市楼>双林寺>二郎庙>《又见平遥》>同兴公镖局,亲子,古镇 短途周末,人均800元,6.7万,391,3
自驾川西，收集世间温柔，热爱漫无边际,2021-10-29 出发,共5天,康定>四姑娘山siguniangshan>泸定>甘孜藏族自治州Ganzi Prefecture>日本(川西市Kawa...,折多山观雪台>新都桥>折多山>康定机场>红海子>青绕神山>塔公寺>塔公草原>塔公镇...,情侣,漫游 自驾 赏秋,,2.4万,81,7
川渝十日世遗之旅,2021-10-15 出发,共10天,重庆>峨眉山,大足石刻>灵秀温泉>报国寺>峨眉山>万年寺>峨嵋金顶>金顶>洪崖洞>重庆西站>洪崖...,家庭,,人均3250元,3195,64,5
我是有大海的人呐（山东青烟威秋冬5日自驾）,2022-11-17 出发,共1天,青岛>烟台>威海,崂山>养马岛>栈桥>韩乐坊>青山渔村>八大关>五四广场>流亭>青山村>金沙滩海滨公...,,自驾 赏秋 冬季,,1.4万,9,0
这样的大理你见过吗？五天四晚看不一样的大理,2022-11-06 出发,共1天,大理,洱源,三五好友,自驾 赏秋,人均6000元,1.4万,10,0
【西班牙】科卡〡探索西班牙中世纪古城,2023-10-17 出发,共1天,,,,探险,,2323,0,0
让烦躁的心去流浪吧！,2022-11-15 出发,共30天,德钦>香格里拉Xianggelila>苏州>黄山,飞来寺>德钦县>雨崩村>雨崩神瀑>冰湖>西当村>松赞林景区>噶丹松赞林寺>独克宗古...,,深度游 摄影 徒步,,1.1万,9,0
闺蜜游日本中部 伊势湾美食美景治愈之旅,2019-11-01 出发,共5天,,,闺蜜,深度游 美食 赏秋,人均10000元,5.3万,56,4
自驾贡嘎西坡 | 寻一个冬季，四天解锁贡嘎的诱惑（干货贴）#发游记瓜分奖金#,2020-11-19 出发,共4天,康定>甘孜藏族自治州Ganzi Prefecture>贡嘎,泉华滩>雅哈垭口>子梅垭口>甲根坝乡>上木居村>新都桥>冷嘎措>贡嘎寺,三五好友,自驾 冬季,人均2000元,1.2万,34,4
亲子游宝贝，我想带你看大海，小summer的四日自驾之旅,2019-09-19 出发,共4天,秦皇岛>唐山,北戴河>昌黎Stars星辰民宿(15号店)>秦皇岛野生动物园>海边市集,,美食 自驾,,14.9万,17,1
你对西藏有梦，我来帮你圆上（13天-浪迹大西北大西南）,2019-09-04 出发,共13天,拉萨>西宁>重庆>兰州>景泰>当雄>江孜>定日Dingri>拉孜>共和>浪卡子>海西,布达拉宫广场>大昭寺广场>八廓街>塔尔寺>洪崖洞民俗风貌区>重庆港客运站>罗布林卡...,三五好友,深度游 环游 中秋节 赏秋,人均8500元,1.2万,39,5
烟雨张家界，北纬30度的壮丽山河,2019-09-17 出发,共3天,张家界,金鞭溪大峡谷>天门山国家森林公园>天门洞>金鞭溪>迷魂台>吃饭皇帝大土家民族菜...,独自一人,美食 暑假 短途周末 摄影,人均3000元,3.8万,19,2
暑假广西七天亲子游之桂林&阳朔&南宁篇,2019-08-02 出发,共7天,阳朔>桂林,在路上>桂林北站>两江四湖>西城步行街>桂林站>正阳路步行街>东西巷>象鼻山石刻...,亲子,美食 暑假,人均4600元,5347,37,2
早餐很棒，小龙虾无敌，说点带着孩子来武汉的注意事项，我们慢慢玩~,2019-09-08 出发,共6天,武汉,天河国际机场>楚河汉街>四代烤肉(武汉中央文化旅游区楚河汉街店)>黄鹤楼>三镇民生甜...,亲子,美食 中秋节,人均2000元,5072,18,2
毕棚沟、桃坪羌寨3日自驾游记,2015-06-20 出发,共3天,理县,毕棚沟>桃坪羌寨,家庭,端午 自驾 短途周末 摄影,,1422,25,4
致敬青春，归来仍是少年——首尔釜山私藏小众玩法全记录,2019-09-08 出发,共5天,韩国(釜山Busan 首尔Seoul)>日本(江南市Konan),甘川文化村>汝矣岛汉江公园>冬柏公园>北村韩屋村>青瓦台>汝矣岛>奉恩寺>江南区...,,购物 美食 探险,,884,53,4
夏天里的避暑之旅——长春 长白山 满洲里 哈尔滨,2019-08-10 出发,共8天,长春>满洲里>哈尔滨>长白山Changbaishan,长春站>净月潭>满洲里>41号界碑>满洲里火车站>哈尔滨站>松花江>中央大街,亲子,美食 自驾 暑假 夏季,人均2500元,2770,12,4
Seoul & Busan  暴走思密达，远不止一句撒浪嘿哟,2019-09-16 出发,共5天,韩国(釜山Busan 首尔Seoul),甘川文化村>景福宫>昌庆宫>三清洞>北村韩屋村>仁寺洞>昌德宫>北村文化中心>清溪...,,深度游 购物 美食 夏季,,6291,26,0
2019暑假狮城+马来四州游,2019-07-04 出发,共9天,新加坡(新加坡Singapore)>马来西亚(马六甲Malacca 新山Johor Bahru),樟宜机场>新加坡河>新加坡滨海湾花园>滨海湾>花穹>新加坡摩天观景轮>马里安曼兴都...,家庭,美食 暑假 摄影,人均7500元,3567,10,8
徜徉多彩北疆，万物美好，人间值得,2019-09-05 出发,共1天,布尔津>特克斯>乌鲁木齐,观鱼台>喀纳斯三湾>喀纳斯景区>喀拉峻景区>禾木风景区>琼库什台>贾登峪>喀纳斯机...,,,,4670,18,1
桐家的旅行——贵州西江千户苗寨、青岩古镇、中国天眼 五日游,2019-08-18 出发,共5天,雷山>贵阳>沾益,西江千户苗寨>青岩古镇>贵阳尔时有茶客栈>赵公专祠>慈云寺>文昌阁>钟书阁>甲秀楼...,亲子,古镇 暑假 摄影,人均2000元,8625,60,4
梦落南浔，难寻秋意,2019-09-12 出发,共2天,南浔,,独自一人,美食 古镇 中秋节 短途周末 赏秋,人均500元,3.4万,23,2
领略晋魂--晋北晋中游,2019-08-17 出发,共8天,平遥>五台>大同>浑源>太原>晋中,城隍庙>罗睺寺>马家大院>华严寺>悬空寺>晋祠博物馆>恒山>五台山>黛螺顶>东台望...,家庭,美食 古镇 自驾 暑假 第一次,人均2500元,1.2万,66,6
开封纪行 | 翻阅古朝，享月夜情长与书韵花香,2019-09-11 出发,共3天,开封,清明上河园>书店街>开封站>包公湖>繁塔>龙亭公园>万岁山>大宋武侠城>中国翰园碑...,情侣,自驾 中秋节 摄影 人文,人均3000元,1009,43,4
走马观花青甘线,2019-08-12 出发,共11天,敦煌>西宁>格尔木>海西>海晏>兰州>门源,敦煌夜市>东关清真大寺>可可西里自然保护区>莫高窟>塔尔寺>无极龙凤宫>大柴旦翡翠...,三五好友,环游 暑假,人均8600元,5276,15,2
贵州-黔东南自驾6日游（大交通飞机往返，当地租车）,2019-09-13 出发,共6天,贵阳>荔波>黎平>雷山>镇远,青岩古镇>荔波小七孔景区>肇兴侗寨>堂安侗寨>西江千户苗寨>镇远古城,,自驾,人均5570元,2070,49,11
🇨🇭瑞士六天深度游超详细攻略,2019-08-30 出发,共6天,瑞士(苏黎世Zurich 格林德瓦Grindelwald 因特拉肯Interlaken 卢塞恩Luzerne),苏黎世>格林德瓦>因特拉肯>小沙伊得克>费尔斯特>班霍夫大街>林登霍夫山公园>利马...,情侣,深度游 蜜月 暑假 第一次,,9969,39,4
"不一样的成都,不一样的美食,探寻天府之国,寻遍江湖美味",2019-08-30 出发,共4天,成都,成都IFS国际金融中心>烤匠麻辣烤鱼(IFS店)>锦城印象火锅(玉林店)>大院河鲜(九眼桥店)...,三五好友,美食 探险,人均1500元,10.7万,448,1
人生若遇成都，不负美景不负胃,2019-08-16 出发,共3天,成都,武侯祠>春熙路>宽窄巷子,三五好友,美食,人均1500元,5.4万,323,1
一界两片天 | 用这样方式打开三亚，原来你这么美,2019-09-12 出发,共6天,三亚,南山寺>海棠湾>亚龙湾>大小洞天>大东海>太阳湾>鲜管家海鲜(第一市场店)>第一农贸...,闺蜜,深度游 美食 暑假 摄影,人均3000元,3.2万,16,3
四十功名尘与土，三万里路藏疆行——2019藏疆自驾游(上),2019-08-11 出发,共28天,林芝>昌都>拉萨,八一镇>业拉山>然乌湖>波密>鲁朗林海>甘丹寺>布达拉宫>八廓街>布达拉宫广场...,情侣,自驾 暑假,人均20000元,4431,18,0
恩施&神农架小分队自驾游——记《六口茶》&跑跑猪的奇妙邂逅,2019-08-30 出发,共9天,神农架>利川市>恩施,神农架风景区>神农顶>腾龙洞风景区>木鱼镇>神农架木鱼镇>天燕旅游区>巴人堂>云龙...,三五好友,购物 美食 自驾 暑假 摄影,人均5000元,8062,17,4
高铁在手，说走就走，看佛系玩家如何南昌这个火炉城市体验冰与火的激情,2019-09-08 出发,共3天,南昌,南昌绿地铂骊酒店>滕王阁>秋水广场>南昌西站,闺蜜,美食 暑假 短途周末 摄影,人均1600元,3万,21,1
再次踏足东瀛之旅-富士山&东京游记（多图分享）,2019-06-18 出发,共6天,日本(成田市Narita shi 东京Tokyo 镰仓Kamakura),成田国际机场>成田亚洲酒店(Asia Hotel Narita)>成田山新胜寺>矶丸水产>富士电视台...,家庭,深度游 购物 美食,人均7500元,4118,8,0
2019年8月12-17日海南岛6日游盛夏租车自驾5日人均5000舒适二人行,2019-08-12 出发,共6天,三亚>海口,蜈支洲岛>三亚湾>亚龙湾>大东海,情侣,穷游 海滨海岛 自驾 暑假 夏季,人均5000元,9.7万,17,2
携父同游一一黄山，西递村，景德镇，南昌,2019-08-14 出发,共5天,黄山>景德镇>张家界,黄山风景区>古窑民俗博览区,,,人均4000元,4777,27,3
小小旅行家的“精灵大师梦”,2019-08-11 出发,共5天,上海,上海迪士尼度假区>上海海昌海洋公园>上海汽车博物馆>上海保利大剧院>深坑秘境乐园-...,亲子,自驾 暑假 短途周末 摄影 夏季,人均5000元,8669,21,10
澳门美食/探店/持续不定期更新～～,2019-09-06 出发,共99天,香港>澳门Macau,Goobne>熊野日本料理>花城公园>嫲嫲辣辣(澳门分店)>鸡蛋仔>牛记咖喱美食>大堂炸鸡...,,深度游 购物 美食 夏季 冬季,,4104,5,7
长白山两日游-许你长相思守，白头到老，山盟海誓,2019-08-27 出发,共3天,长白山Changbaishan,,情侣,穷游 短途周末 夏季 第一次,人均1400元,4.7万,13,8
和心爱的TA同舟共济征服ACT？不！是被征服！22天难忘经历——无背夫向导徒步小白(全记录),2019-03-29 出发,共23天,尼泊尔(加德满都Kathmandu 博卡拉Pokhara)>克罗地亚(塔尔Tar)>巴拿马(查梅Chame),斯瓦扬布纳寺>博纳佛塔>费瓦湖,情侣,美食 徒步,人均6400元,347,53,5
辣么爽！浙江小姐姐带你逛吃逛吃重庆（内附推荐、吐槽景点）,2019-08-14 出发,共2天,重庆,卤校长老火锅(杨家坪店)>重庆北站>两江国际影视城（民国街）>洪崖洞民俗风貌区>解放...,三五好友,美食,人均700元,4.8万,21,2
科莫多  不止粉沙与巨蜥，它是来自蓝色星球最纯粹的感动,2019-07-16 出发,共3天,印度尼西亚(科莫多岛Komodo 龙目岛Lombok 巴焦Bajo),,家庭,潜水 短途周末,人均3000元,8921,37,2
我们的旅程之西藏,2019-08-11 出发,共8天,拉萨>当雄>浪卡子,布达拉宫>大昭寺>纳木措>布达拉宫广场>药王山>八廓街,家庭,购物 美食 暑假 第一次,人均5000元,5450,15,1
寻找内蒙静美的秋韵,2019-09-26 出发,共14天,额尔古纳>呼伦贝尔>呼和浩特>满洲里>阿尔山Aershan,额尔古纳湿地>室韦口岸>呼伦湖>室韦>白塔国际机场>莫尔道嘎>室韦村>边防公路...,三五好友,自驾 国庆,人均6000元,6603,14,8
冰岛自驾环岛旅行结婚♫听冰火为我们演奏♪婚礼进行曲♪,2019-07-06 出发,共9天,冰岛(雷克雅未克Reykjavik 阿克雷里Akureyri),斯奈山半岛>雷克雅未克>太阳航海者>阿克雷里大教堂>蓝湖>托宁湖>﻿哈帕音乐厅和会...,情侣,蜜月 环游 自驾 摄影 夏季,人均30000元,2.4万,18,4
国庆成都怎么玩？成都土著的第N次成都攻略 必打卡地点指南,2019-09-13 出发,共1天,成都,春熙路>宽窄巷子>人民公园>成都小吃>成都远洋太古里>EGO潮流广场>成都U37创意仓库...,三五好友,穷游 美食 短途周末,人均105元,2.8万,41,5
曼谷、普吉岛懒人悠闲8日7晚游——人均5000吃龙虾，住villa,2019-08-17 出发,共8天,泰国(曼谷Bangkok 普吉岛Phuket),拉差达火车夜市>唐人街>大皇宫>金东尼人妖秀>金佛寺>考山路>四面佛>湄南河>曼谷...,家庭,美食 海滨海岛 暑假,人均5000元,3247,5,2
纵横西域万里行，曾见明月出天山！新疆逐梦之旅之二天山天池,2019-08-10 出发,共12天,阜康>克拉玛依,天山天池>世界魔鬼城,独自一人,深度游 环游 暑假 夏季 第一次,人均6000元,3647,12,1
八月会扬州，皆是江南好味道,2019-08-23 出发,共3天,扬州,瘦西湖>瘦西湖温泉度假村>趣园茶社(长春路店)>个园>扬州炒饭>卢氏盐商>五亭桥...,三五好友,美食 温泉,,12.4万,102,6
抓住夏天的小尾巴，带娃去草原约个会,2019-08-24 出发,共2天,张家口,,,美食 自驾 暑假 短途周末 夏季 第一次,人均500元,2.3万,15,2
去三亚，看日落和大海,2019-08-29 出发,共5天,三亚,鲜管家海鲜(第一市场店)>天涯镇>亚龙湾>第一农贸市场(NO.1店)>奥特莱斯>大东海...,独自一人,深度游 美食 暑假 摄影,人均4000元,4.3万,34,2
广州美食+珠海长隆漫游记,2019-08-28 出发,共5天,广州>珠海,沙面>上下九步行街>广州南站>岭南印象园>陈家祠>点都德,亲子,漫游 美食,,3157,5,0
世外桃源温泉地，不止别府由布院，雨季的大分温泉之旅,2019-06-30 出发,共7天,日本(福冈Fukuoka 别府市Beppu 日田市Hita),福冈机场>海地狱>别府海滨美松大江亭酒店(Seaside Hotel Mimatsu Ooetei)>白池地狱...,亲子,深度游 购物 美食 温泉 古镇,人均7000元,2.6万,10,3
他带着我，我带着娃，呼伦贝尔大环线自驾9日游…,2019-08-10 出发,共9天,呼伦贝尔>额尔古纳>陈巴尔虎旗Chenbaerhuqi>兴安盟Xinganmeng>满洲里>根河,海拉尔>额尔古纳湿地>猛犸旅游景区>黑山头镇>七卡>186彩带河>老鹰嘴>呼伦湖>室...,亲子,自驾 夏季,人均4500元,4682,32,3
情侣游之济州岛,2019-08-10 出发,共7天,韩国(西归浦Seogwipo 济州市Jeju 济州岛Jeju Island),济州国际机场>乐天免税店（济州店）>梨湖海水浴场>七星路步行街>济州东门传统市场...,情侣,海滨海岛 暑假,人均6000元,8742,25,8
一场来自中欧的浪漫仲夏梦（捷克奥地利匈牙利斯洛伐克十三日环游）,2019-07-23 出发,共13天,奥地利(维也纳Vienna)>捷克(布拉格Prague)>匈牙利(布达佩斯Budapest)>斯洛伐克(布拉...,维也纳>查理大桥>渔人堡>伏尔塔瓦尔河>布拉格中央火车站>城堡山>金色大厅>布拉格...,闺蜜,深度游 环游 漫游 美食 暑假 摄影,人均12000元,2万,46,8
贵州行（黄果树-荔波小七孔-西江苗寨-镇远高过河漂流-铜仁梵净山）,2019-08-09 出发,共5天,荔波>镇远>贵阳>安顺>铜仁>西江千户苗寨Xijiangmiaovillage,荔波小七孔景区>高过河漂流>花溪牛肉粉(花果园店),情侣,深度游 美食,人均4000元,3.7万,35,2
行走天山-新疆包车自由行11天,2019-08-04 出发,共11天,昭苏>特克斯>尼勒克>乌鲁木齐,夏塔旅游区>琼库什台>八卦公园太极眼景区>乔尔玛>唐布拉草原>金玉兰总店>新疆国际...,家庭,自驾 夏季 第一次,人均12000元,720,3,2
自驾宁夏，探索神秘的未知,2019-08-25 出发,共1天,银川>中卫,西夏陵国家考古遗址公园>一百零八塔>镇北堡西部影城>银川河东国际机场>沙坡头>览山...,三五好友,美食 自驾 摄影 探险,人均5000元,5.1万,38,5
广州7天深度亲子游之玩在长隆,2019-08-09 出发,共2天,广州,,家庭,暑假 第一次,人均1200元,8.5万,38,4
西北大环线7天游，广州出发/神州租车/自驾,2019-08-10 出发,共7天,敦煌>临泽>祁连>西宁,玉门关>莫高窟>月牙泉小镇>月牙泉>鸣沙山月牙泉>雅丹地质公园>张掖七彩丹霞旅游景...,家庭,环游 自驾 暑假 夏季,人均5000元,5422,18,6
与母上大人的西安五日游,2019-08-10 出发,共5天,西安,西安北站>西安站>都城隍庙>大学习巷清真寺>西羊市>回民街>北院门>西安钟楼>西安...,,穷游 暑假,人均2000元,4039,15,4
重庆攻略❤爱上这山城江城 不夜城 （内附景点美食指南攻略）,2019-08-20 出发,共2天,重庆,黄桷坪>两江国际影视城（民国街）>鹅岭二厂>洪崖洞民俗风貌区>解放碑步行街>李子坝...,,美食,人均2000元,4.4万,24,4
说走咱就走，神农架5天，自由行。神龙架双动5日游1500元,2019-08-15 出发,共5天,神农架,神农架风景区>神农谷>香溪源>金猴岭>板壁岩>坪阡古镇>鹿苑>炎帝剧场>天生桥,家庭,深度游 暑假 夏季 第一次,人均1500元,22.6万,41,14
坐火车去吧~日本九州九日游,2018-06-26 出发,共9天,日本(福冈Fukuoka),九州新干线>中州,独自一人,深度游,人均15000元,1249,1,0
去城市度假，去海边撒野 —— 三亚旅行随笔,2019-08-19 出发,共3天,三亚,海棠湾>大东海>亚龙湾>椰梦长廊>三亚湾>蜈支洲岛>金岷坊原味椰子鸡(榆亚路店),三五好友,美食 海滨海岛 摄影 夏季,人均3000元,3.8万,6,2
背包三天半游大同,2019-08-19 出发,共3天,大同>浑源,云冈石窟>悬空寺>恒山>九龙壁>华严寺>大同法华寺,,美食,人均1000元,1351,57,4
鹤山两日休闲亲子游，与自然为伴的艺术之旅,2019-08-17 出发,共2天,鹤山,大雁山,亲子,美食 暑假 短途周末 夏季,人均1000元,2.2万,104,2
带着老爸老妈游四川~峨眉成都六日游记,2019-08-11 出发,共7天,峨眉山>成都>乐山,金顶>武侯祠>天府广场>文殊院>锦里古街>宽窄巷子>峨眉山>乐山大佛>成都大熊猫繁...,家庭,深度游 自驾 暑假 摄影 夏季,人均2500元,8360,110,6
美疆环游（下）北疆篇,2019-07-22 出发,共33天,布尔津>阜康>巴里坤县Balikunhasake>奇台>乌鲁木齐,五彩滩>天山天池>巴里坤湖>江布拉克草原>巴里坤古城,家庭,环游 自驾 暑假,人均16400元,3402,8,4
美疆环游（中）北疆篇,2019-07-22 出发,共33天,特克斯>伊犁>昭苏>霍尔果斯Huoerguosi>奎屯,喀拉峻景区>唐布拉风景区>特克斯八卦城>夏塔旅游区>霍尔果斯国门景区,家庭,环游 自驾 暑假,人均16400元,3460,10,3
想打死同伴的广州三日游,2019-08-13 出发,共3天,广州,陶陶居>上下九步行街>中山大学>中山纪念堂>广东美术馆>陈家祠,三五好友,美食 第一次,人均2680元,83.1万,29,10
孤独患者寻味记,2019-07-15 出发,共5天,成都,大院河鲜(九眼桥店)>张太婆老妈蹄花•川菜馆(太古里店)>烤匠麻辣烤鱼(IFS店)>东郊记,三五好友,美食 温泉 暑假 短途周末 夏季,人均1000元,12.4万,2032,5
美疆环游（上）南疆篇,2019-07-22 出发,共33天,和静>库车,巴音布鲁克草原>天山神秘大峡谷>大龙池>巴音布鲁克天鹅湖,家庭,环游 自驾 暑假,人均16400元,4854,22,2
葡萄牙+西班牙丨伊比利亚半岛主题变奏曲,2019-08-16 出发,共3天,葡萄牙(波尔图Porto 里斯本Lisbon 奥比多斯Obidos),杜罗河>波尔图老城>莱罗书店>航海纪念碑,,美食,,622,38,4
重庆4日游（内附干货！）,2019-08-15 出发,共4天,重庆,长江索道>洪崖洞民俗风貌区>南山一棵树观景台>陈昌银麻花>江北国际机场>重庆无忧良...,学生,美食 夏季 第一次,人均2000元,7920,5,5
家家有水，户户有花—我们的云贵旅拍之旅,2019-08-11 出发,共8天,贵阳>丽江>镇远>束河Shuhe,龙洞堡国际机场>束河古镇>丽江古城>三义机场>丽江三义国际机场>老凯里酸汤鱼>王品...,情侣,蜜月 美食 婚纱 夏季 摄影,人均5000元,3396,2,0
玩转三亚小众景点 这个盛夏我与三亚初相见,2019-08-28 出发,共3天,三亚,鲜管家海鲜(第一市场店)>亚龙湾>后海>第一市场>椰梦长廊>第一农贸市场(NO.1店)...,,美食 海滨海岛 暑假 短途周末 夏季,人均2000元,7.5万,7,6
首尔釜山济州岛一站式体验韩国风情,2019-08-02 出发,共9天,韩国(釜山Busan 首尔Seoul 西归浦Seogwipo 济州市Jeju),釜山水族馆>N首尔塔>柱状节理带>信不信由你博物馆>明洞>景福宫>首尔新罗酒店(The ...,亲子,购物 海滨海岛 暑假,人均17000元,7273,14,5
去呼伦贝尔拥抱蓝天白云大草原,2019-07-24 出发,共11天,呼伦贝尔,呼伦湖>呼和诺尔湖,亲子,深度游 海滨海岛 自驾 暑假 第一次,人均7000元,6899,17,8
带着爸妈去草原——呼伦贝尔,2019-07-24 出发,共8天,哈尔滨>额尔古纳>满洲里>临江,松花江>圣索菲亚大教堂>室韦>黑山头镇>恩和俄罗斯族民族乡>额尔古纳>额尔古纳湿地...,家庭,蜜月 自驾 暑假 摄影,人均4000元,5025,19,2
广州  小长假可以在广州玩什么？,2019-06-07 出发,共4天,广州>顺德,上下九步行街>北京路步行街>广州塔>石室圣心大教堂>点都德(花城店)>沙面>陈家祠...,情侣,端午 第一次,人均3000元,1.5万,93,2
遇见丽江，遇见香格里拉，遇见最美的遇见,2019-08-12 出发,共1天,香格里拉Xianggelila>丽江,香格里拉>茶马古道>东巴谷>大佛寺转经筒>独克宗古城>格宗雪山>松赞林景区>拉姆央,独自一人,深度游 美食 古镇 自驾 暑假,人均5000元,4.1万,51,3
只为美食周末打个飞的去成都，佛系吃货这样逛吃逛吃游,2019-06-28 出发,共3天,成都,鹤鸣茶社>四川大学>宽窄巷子>大慈寺>冒菜,三五好友,美食 短途周末,人均2500元,2.9万,25,1
